"Project","Category","FileName","Type","SizeKB","LastModified","FullPath"
"12SB Hunters Landing","Rich Development\Liens","Elite Plumbing Lien 1-8-2026.pdf",".pdf","810.8","2026-01-15 12:16","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Rich Development\Liens\Elite Plumbing Lien 1-8-2026.pdf"
"12SB Hunters Landing","Proof of Payments\GM Custom","Draw 1 - $12,350.pdf",".pdf","3921.8","2023-11-08 09:46","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Proof of Payments\GM Custom\Draw 1 - $12,350.pdf"
"12SB Hunters Landing","Proof of Payments\GM Custom","Draw 2 - $43.557.12.pdf",".pdf","3714.3","2023-11-08 09:47","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Proof of Payments\GM Custom\Draw 2 - $43.557.12.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\B&M Plumbing","Inv_14537_from_B__M_Plumbing__Heating_Inc._24456.pdf",".pdf","89.8","2023-10-27 10:48","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\B&M Plumbing\Inv_14537_from_B__M_Plumbing__Heating_Inc._24456.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\B&M Plumbing","Inv_14562_from_B__M_Plumbing__Heating_Inc._24456.pdf",".pdf","89.8","2023-10-27 10:48","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\B&M Plumbing\Inv_14562_from_B__M_Plumbing__Heating_Inc._24456.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\B&M Plumbing","Inv_14573_from_B__M_Plumbing__Heating_Inc._24456.pdf",".pdf","89.3","2023-10-27 10:48","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\B&M Plumbing\Inv_14573_from_B__M_Plumbing__Heating_Inc._24456.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\B&M Plumbing","Inv_14678_from_B__M_Plumbing__Heating_Inc._24456.pdf",".pdf","82.9","2023-10-27 10:48","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\B&M Plumbing\Inv_14678_from_B__M_Plumbing__Heating_Inc._24456.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\B&M Plumbing","Inv_14673_from_B__M_Plumbing__Heating_Inc._24456.pdf",".pdf","89.2","2023-10-27 10:48","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\B&M Plumbing\Inv_14673_from_B__M_Plumbing__Heating_Inc._24456.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\B&M Plumbing","Inv_14688_from_B__M_Plumbing__Heating_Inc._24456.pdf",".pdf","89.3","2023-10-27 10:48","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\B&M Plumbing\Inv_14688_from_B__M_Plumbing__Heating_Inc._24456.pdf"
"12SB Hunters Landing","Invoices Received from Subs After ML\B&M Plumbing","Inv_14704_from_B__M_Plumbing__Heating_Inc._24456.pdf",".pdf","89","2023-10-27 10:48","I:\.shortcut-targets-by-id\1fkt3Xe3wDSNU3-8StUP8qu7ATEJkGMI0\Summa Terra Ventures Company Folder\Projects\Utah\12SB - Hunter's Landing\Construction\Draws\Invoices Received from Subs After ML\B&M Plumbing\Inv_14704_from_B__M_Plumbing__Heating_Inc._24456.pdf"
